Filename,TunedTranscription
103-1240-0001.flac, that had its source away back in the woods of the old cuthbert place it was reputed to be an intricate headlong brook in its earlier course through those woods with dark secrets of pool and cascade but by the time it reached lynde's hollow it was a quiet well conducted little stream
103-1240-0002.flac,for not even a brook could run past missus rachel lynde's door without due regard for decency and decorum it probably was conscious that missus rachel was sitting at her window keeping a sharp eye on everything that passed from brooks and children up
103-1240-0003.flac, and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof there are plenty of people in avonlea and out of it who can attend closely to their neighbor's business by dint of neglecting their own
103-1240-0004.flac,but missus rachel lynde was one of those capable creatures who can manage their own concerns and those of other folks into the bargain she was a notable housewife her work was always done and well done she ran the sewing circle
103-1240-0005.flac, helped run the sunday school and was the strongest prop of the church aid society and foreign missions auxiliary yet with all this missus rachel found abundant time to sit for hours at her kitchen window knitting cotton warp quilts she had knitted sixteen of them
103-1240-0006.flac, as avonlea housekeepers were wont to tell in awed voices and keeping a sharp eye on the main road that crossed the hollow and wound up the steep red hill beyond
103-1240-0007.flac, anybody who went out of it or into it had to pass over that hill road and so run the unseen gauntlet of missus rachel's all seeing eye she was sitting there one afternoon in early june the sun was coming in at the window warm and bright
103-1240-0008.flac,the orchard on the slope below the house was in a bridal flush of pinky white bloom hummed over by a myriad of bees thomas lynde a meek little man whom avonlea people called rachel lynde's husband was sowing his late turnip seed on the hill field beyond the barn
103-1240-0009.flac, missus rachel knew that he ought because she had heard him tell peter morrison the evening before in william j blair's store over at carmody that he meant to sow his turnip seed the next afternoon
103-1240-0011.flac, and his best suit of clothes which was plain proof that he was going out of avonlea and he had the buggy and the sorrel mare which betokened that he was going a considerable distance now where was matthew cuthbert going and why was he going there
103-1240-0012.flac, had it been any other man in avonlea missus rachel deftly putting this and that together might have given a pretty good guess as to both questions but matthew so rarely went from home that it must be something pressing and unusual which was taking him
103-1240-0014.flac, and her afternoon's enjoyment adamant was spoiled i'll just step over to green gables after tea and find out from marilla where he's gone and why the worthy woman finally concluded he doesn't generally go to town this time of year and he never visits
103-1240-0015.flac,if he'd run out of turnip's seat he wouldn't dress up and take the buggy to go for more
103-1240-0016.flac,yet something must have happened since last night to start him off i'm clean puzzled that's what and i won't know a minute's peace of mind or conscience until i know what has taken matthew cuthbert out of avonlea today accordingly after tea missus rachel set out she had not far to go
