,file_name,prediction
0,6925-80680-0006.flac,the king made king made king made no remark but sent for a palanquin and ordered the queen to be placed in it bidding the four bearers of the palanquin to take her a thou th a long way off into the forest and there leave her in spite of her tears she was forced to obey
1,6925-80680-0072.flac,amer ali bowed low and answered that he had undone and would do the king all the service that lay in his power save only this one thing thing the king who considered his daughter's hand a prize for any man flew into a passion and the princess was more furious still
2,6925-80680-0040.flac,and as the storm had by this time passed over he made his way back to the palace when he had finished his story he took the anklet out of his pocket and handed it to the king who like everyone else was amazed at the glory of the jewels which composed it indeed
3,6925-80680-0036.flac,ameer ali thought that her voice sounded rather eager
4,6925-80680-0070.flac,then the princess sent for her father and told him that she wished to marry ameer ali
5,6925-80680-0032.flac,whilst from the foot of it came the sound of sobbing that the king had heard
6,6925-80680-0039.flac,and with a yell of pain and anger she vanished into the darkness ameer ali then sat down to collect himself a little and felt upon the ground by his side an anklet that had evidently fallen off the old witch's foot
7,6925-80680-0020.flac,the old woman's face brightened she showed him the im where to seek the water and when he returned a few minutes a few minutes later with his pot filled to the brim she led the way without a word and he followed in a short while th elthe el tel they came to a hut in the forest
8,6925-80680-0069.flac,how do you think our princess is looking now very fine no doubt grumbled the parrot but what is the use of dressing up like that for oneself only she oneself only she oneself only she ought to have a husband why doesn't she marry the man who got her all these splendid things
9,6925-80680-0003.flac,we'll call the guard and ask and if it was a jackal i'll leave this kingdom to you and go away and if it was a tiger then you shall go and i will marry a new wife as you like answered the queen there isn't any doubt which it was
10,6925-80680-0007.flac,and away the bearers went for three days and three nights until they came to a dense wood
11,6925-80680-0037.flac,and bent so that the old woman could clamber on to his back which which she did very nimbly then suddenly he felt a noose slipped over his neck
12,6925-80680-0081.flac,then the farmer told the king and his ministers how he had rescued the queen and brought up ameer ameer ameer ali and he fetched the old queen herself whom he had left outside at the sight of tight of the night of her the king was filled with shame and self reproach and wished he could have lived his life over again
13,6925-80680-0062.flac,and again ameer ali spent nearly the ealy the ealy the whole month searching for the jewels but all in vain at length he made his way to the hut in the forest and stood and cried fairy of the forest fairy of the forest help me
14,6925-80680-0018.flac,presently as he made his way through a thicket he saw a prespigeon which he thought would make a good dinner so he fired a pellet at it from his galail but missed the pigeon which fluttered away with a startled clatter at the same instant he heard a great clamour from beyond the thicket
15,6925-80680-0021.flac,and as they drew near it ameer ali beheld in the doorway the loveliest damsel his eyes had ever looked on and on at the sight of a stranger she drew her veil about her and stepped into the hut and much as he wished to see her again
16,6925-80680-0065.flac,from her severed hands and head there fell into the cauldron ad and bracelets and chains of rubies and diamonds
17,6925-80680-0008.flac,and started home again now the queen thought to herself e elt that the king could not mean to send her away for good and that as soon as he had got over his fit of temper he would summon her back and her back and her back so she stayed quite still for a long time listening with all her ears for approaching footsteps
18,6925-80680-0082.flac,and not and not andnot have married the mother of the proud princess who caused him endless trouble until her death my days aayus passed said he and he gave up his crown to his son ameer ali ho ani h ani who went once more and called to the forest fairy to provide him with a queen to share his throne
