,file_name,prediction
0,6925-80680-0006.flac," the king made no remark, but sent for a palinquin and ordered the queen to be placed in it, bidding the four bearers of the palinquin to take her all the way off into the forest and there leave her. in spite of her tears, she was forced to obey."
1,6925-80680-0072.flac," amirale about low and answered that he had done and would do. the king, all the service that lay in his power, save only this one thing, a thing. the king, who considered his daughter's hand a prize for any man, flew into a passion, and the princess was more furious still."
2,6925-80680-0040.flac," and as the storm had by this time passed over, he made his way back to the palace. when he had finished his story, he took the enclot out of his pocket and handed it to the king, who, like everyone else, was amazed at the glory of the jewels which composed it. indeed,"
3,6925-80680-0036.flac, amir ali thought that her voice sounded rather eager.
4,6925-80680-0070.flac, then the princess sent for her father and told him that she wished to marry amir ali.
5,6925-80680-0032.flac, whilst from the foot of it came the sound of sobbing that the king had heard.
6,6925-80680-0039.flac, and with a yell of pain and anger she vanished into the darkness. a mere alley then sat down to collect himself a little and felt upon the ground by his side an anchored that had evidently fallen off the old witch's foot.
7,6925-80680-0020.flac," the old woman's face brightened. she showed him where to seek the water, and when he returned a few minutes later with his pot filled the brim, she led the way without a word, and he followed. in a short while, they came to a hut in the forest."
8,6925-80680-0069.flac," how do you think our princess is looking now? a very fine, no doubt, grumbled the parrot. but what is the use of dressing up like that for one's health only? she- one's health only. she- one's health only. she ought to have a husband. why doesn't she marry the man who got her all these splendid things?"
9,6925-80680-0003.flac," we'll call the guard and ask, and if it was a jackal, i'll leave this kingdom to you and go away. and if it was a tiger, then you shall go, and i will marry a new wife."" as you like, answer the queen. there isn't any doubt which it was."
10,6925-80680-0007.flac, and away the bearers went for three days and three nights until they came to a dense wood.
11,6925-80680-0037.flac," and bent so that the old woman could clam around to his back, and which she did very nimble. then suddenly he felt a noose slipped over his neck."
12,6925-80680-0081.flac," then the farmer told the king and his ministers how he had rescued the queen and brought up amir ali, and he fetched the old queen herself whom he had left outside. at the side of her, the king was filled with shame and self-repraach, and wished he could have lived his life over again."
13,6925-80680-0062.flac," and again, amir ali spent nearly the whole month searching for the jewels but all in vain. at length he made his way to the hut in the forest and stood and cried, ""'fairy of the forest! fairy of the forest! help me!'"
14,6925-80680-0018.flac," presently, as he made his way through a thicket, he saw a press pigeon which he thought would make a good dinner, so he fired a pellet at it from his galale, but missed the pigeon which fluttered away with a startled clatter. at the same instant, he heard a great clamor from the on of the thicket,"
15,6925-80680-0021.flac," and as they drew near it, a mirror-arly beheld in the doorway, the loveliest damsel his eyes had ever looked on, and on. at the sight of a stranger, she drew her veil about her and stepped into the hut, and, much as he wished to see her again,"
16,6925-80680-0065.flac," from her severed hands and head, their fell into the cauldron, and bracelets, and chains, of rubies, and diamonds."
17,6925-80680-0008.flac," and started home again. now the queen thought to herself, and out that the king could not mean to send her away for good, and that as soon as he had got over his fit of temper he would summon her back, and her back, and her back. so she stayed quite still for a long time, listening with all her ears for approaching footsteps."
18,6925-80680-0082.flac," and not, and not, and not have married the mother of the proud princess who caused him endless trouble until her death. my days, aeous past, said he, and he gave up his crown to his son, amir ali, who, and he, who went once more and called to the forest fairy to provide him with a queen to share his throne."
19,6925-80680-0029.flac," but each one showed the same strange fear. then amir ali stepped, he stepped, he stepped forward. this is my duty, your majesty, he said. i will go."" the king nodded and off he went. the night was as dark as pitch."
