,file,start_time,end_time,participant,ground_truth,ground_truth_cleaned,ground_truth_cleaned_no_punctuation
0,0001/D0001_A.txt,87.97,94.85,1,大/r[大]家好，我是叫<姓名>，那。,大家好，我是叫，那。,大家好我是叫那
1,0001/D0001_A.txt,95.58,102.83,1,我是，今年是，<年龄>岁来自<居住地>，呃/i。,我是，今年是，岁来自，。,我是今年是岁来自
2,0001/D0001_A.txt,104.09,105.68,1,我是。,我是。,我是
3,0001/D0001_A.txt,106.3,119.12,1,资深/p的口/b[口/r/b]吃患者。,资深的口吃患者。,资深的口吃患者
4,0001/D0001_A.txt,119.13,124.49,1,我是从小就有口吃。,我是从小就有口吃。,我是从小就有口吃
5,0001/D0001_A.txt,126.46,133.89,1,到[到]现在，嗯/i/p，一直。,到现在，，一直。,到现在一直
6,0001/D0001_A.txt,136.61,141.33,1,伴随我，到我现在那嗯/i。,伴随我，到我现在那。,伴随我到我现在那
7,0001/D0001_A.txt,142.72,149.5,1,现在我已经工/r/b作了，嗯/i/p。,现在我已经工作了，。,现在我已经工作了
8,0001/D0001_A.txt,150.85,154.01,1,那我是。,那我是。,那我是
9,0001/D0001_A.txt,157.8,169.91,1,现在虽然工作了，但是还是会存在口吃的问题。,现在虽然工作了，但是还是会存在口吃的问题。,现在虽然工作了但是还是会存在口吃的问题
10,0001/D0001_A.txt,171.86,172.6,1,嗯。,嗯。,嗯
11,0001/D0001_A.txt,174.75,181.51,1,然后我学的是<工作单位>的专业是。,然后我学的是的专业是。,然后我学的是的专业是
12,0001/D0001_A.txt,184.69,203.96,1,面对孩子说话，嗯/i我会有，担/r/b心会不会孩子会模仿，模仿到我的那个口吃。,面对孩子说话，我会有，担心会不会孩子会模仿，模仿到我的那个口吃。,面对孩子说话我会有担心会不会孩子会模仿模仿到我的那个口吃
13,0001/D0001_A.txt,204.82,212.44,1,嗯，这个就是我的自/r/b我介绍，谢谢。,嗯，这个就是我的自我介绍，谢谢。,嗯这个就是我的自我介绍谢谢
14,0001/D0001_A.txt,238.68,254.12,1,呃/i我在工作的时候就，嗯/i/b就我讲课讲着讲着就会卡/r/b了。,我在工作的时候就，就我讲课讲着讲着就会卡了。,我在工作的时候就就我讲课讲着讲着就会卡了
15,0001/D0001_A.txt,254.41,274.32,1,然后就/b孩子就会看/b着我，他[他]们就会觉得，哎老师/b你怎么卡了，就/r[就]怎么不/b说话了。,然后就孩子就会看着我，他们就会觉得，哎老师你怎么卡了，就怎么不说话了。,然后就孩子就会看着我他们就会觉得哎老师你怎么卡了就怎么不说话了
16,0001/D0001_A.txt,274.39,291.69,1,特别是我给他们讲故事的时候，比如说讲到，大/b灰狼来了，然后这个大字就是我的难发音，然后就会卡住。,特别是我给他们讲故事的时候，比如说讲到，大灰狼来了，然后这个大字就是我的难发音，然后就会卡住。,特别是我给他们讲故事的时候比如说讲到大灰狼来了然后这个大字就是我的难发音然后就会卡住
17,0001/D0001_A.txt,291.95,311.96,1,那孩/r/p子就会那个兴趣，就突然间就被我嗯/i就是突然间就中断了的那种感觉，那孩/r/p子他[他]会觉得好奇。,那孩子就会那个兴趣，就突然间就被我就是突然间就中断了的那种感觉，那孩子他会觉得好奇。,那孩子就会那个兴趣就突然间就被我就是突然间就中断了的那种感觉那孩子他会觉得好奇
